Item,Price Range,Average Price,City,Category
"Cinema, International Release, 1 Seat","5,000.00 RF","3,000.00-5,000.00",Kigali,Cost of Living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","221,428.57 RF","100,000.00-400,000.00",Kigali,Cost of Living
"International Primary School, Yearly for 1 Child","13,375,000.00 RF","2,500,000.00-28,000,000.00",Kigali,Cost of Living
1 Pair of Jeans (Levis 501 Or Similar),"24,500.00 RF","15,000.00-30,000.00",Kigali,Cost of Living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","28,000.00 RF","10,000.00-120,000.00",Kigali,Cost of Living
1 Pair of Nike Running Shoes (Mid-Range),"35,000.00 RF","25,000.00-50,000.00",Kigali,Cost of Living
1 Pair of Men Leather Business Shoes,"45,000.00 RF","35,000.00-50,000.00",Kigali,Cost of Living
Apartment (1 bedroom) in City Centre,"830,991.90 RF","500,000.00-1,175,071.48",Kigali,Cost of Living
Apartment (1 bedroom) Outside of Centre,"518,705.30 RF","200,000.00-1,000,000.00",Kigali,Cost of Living
Apartment (3 bedrooms) in City Centre,"1,560,807.09 RF","800,000.00-2,800,000.00",Kigali,Cost of Living
Apartment (3 bedrooms) Outside of Centre,"1,003,837.13 RF","400,000.00-1,500,000.00",Kigali,Cost of Living
Price per Square Meter to Buy Apartment in City Centre,"14,524,980.60 RF","2,617,416.20-50,000,000.00",Kigali,Cost of Living
Price per Square Meter to Buy Apartment Outside of Centre,"24,443,039.45 RF","7,772,157.79-40,000,000.00",Kigali,Cost of Living
Average Monthly Net Salary (After Tax),"366,666.67 RF",,Kigali,Cost of Living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.2,8.00-18.00,Kigali,Cost of Living
"Milk (regular), (1 liter)",958.82 RF,"500.00-1,600.00",Kigali,Groceries
Loaf of Fresh White Bread (500g),"1,475.00 RF","1,000.00-2,000.00",Kigali,Groceries
"Rice (white), (1kg)","1,769.23 RF","1,200.00-2,500.00",Kigali,Groceries
Eggs (regular) (12),"2,400.00 RF","2,000.00-3,000.00",Kigali,Groceries
Local Cheese (1kg),"5,833.33 RF","2,000.00-10,000.00",Kigali,Groceries
Chicken Fillets (1kg),"6,045.45 RF","3,500.00-10,000.00",Kigali,Groceries
Beef Round (1kg) (or Equivalent Back Leg Red Meat),"5,200.00 RF","4,000.00-7,500.00",Kigali,Groceries
Apples (1kg),"3,062.50 RF","1,000.00-7,500.00",Kigali,Groceries
Banana (1kg),"1,150.00 RF","600.00-2,000.00",Kigali,Groceries
Oranges (1kg),"1,970.00 RF","500.00-4,000.00",Kigali,Groceries
Tomato (1kg),"1,646.15 RF","1,000.00-2,500.00",Kigali,Groceries
Potato (1kg),715.00 RF,300.00-800.00,Kigali,Groceries
Onion (1kg),"1,153.85 RF","500.00-1,500.00",Kigali,Groceries
Lettuce (1 head),700.00 RF,"500.00-1,000.00",Kigali,Groceries
Apartment (1 bedroom) in City Centre,"830,991.90 RF","500,000.00-1,175,071.48",Kigali,Rent
Apartment (1 bedroom) Outside of Centre,"518,705.30 RF","200,000.00-1,000,000.00",Kigali,Rent
Apartment (3 bedrooms) in City Centre,"1,560,807.09 RF","800,000.00-2,800,000.00",Kigali,Rent
Apartment (3 bedrooms) Outside of Centre,"1,003,837.13 RF","400,000.00-1,500,000.00",Kigali,Rent
Price per Square Meter to Buy Apartment in City Centre,"14,524,980.60 RF","2,617,416.20-50,000,000.00",Kigali,Rent
Price per Square Meter to Buy Apartment Outside of Centre,"24,443,039.45 RF","7,772,157.79-40,000,000.00",Kigali,Rent
Average Monthly Net Salary (After Tax),"366,666.67 RF",,Kigali,Rent
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.2,8.00-18.00,Kigali,Rent
"Meal, Inexpensive Restaurant",4.52 $,2.02-14.00,Addis Ababa,Cost of Living
"Meal for 2 People, Mid-range Restaurant, Three-course",37.50 $,25.00-52.00,Addis Ababa,Cost of Living
McMeal at McDonalds (or Equivalent Combo Meal),6.50 $,6.00-7.00,Addis Ababa,Cost of Living
Domestic Beer (0.5 liter draught),1.00 $,0.50-2.00,Addis Ababa,Cost of Living
Imported Beer (0.33 liter bottle),3.00 $,1.40-4.00,Addis Ababa,Cost of Living
Cappuccino (regular),1.23 $,0.45-2.30,Addis Ababa,Cost of Living
Coke/Pepsi (0.33 liter bottle),0.67 $,0.45-1.05,Addis Ababa,Cost of Living
Water (0.33 liter bottle),0.56 $,0.30-1.00,Addis Ababa,Cost of Living
"Milk (regular), (1 liter)",1.46 $,0.92-2.00,Addis Ababa,Cost of Living
Loaf of Fresh White Bread (500g),1.31 $,0.55-2.52,Addis Ababa,Cost of Living
"Rice (white), (1kg)",2.45 $,1.00-4.00,Addis Ababa,Cost of Living
Eggs (regular) (12),2.32 $,1.16-3.20,Addis Ababa,Cost of Living
Local Cheese (1kg),8.05 $,3.00-20.00,Addis Ababa,Cost of Living
Chicken Fillets (1kg),12.70 $,7.50-20.00,Addis Ababa,Cost of Living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),12.94 $,8.00-23.00,Addis Ababa,Cost of Living
Apples (1kg),6.78 $,4.00-11.00,Addis Ababa,Cost of Living
Banana (1kg),0.98 $,0.50-2.00,Addis Ababa,Cost of Living
Oranges (1kg),2.33 $,1.00-3.21,Addis Ababa,Cost of Living
Tomato (1kg),0.89 $,0.33-2.00,Addis Ababa,Cost of Living
Potato (1kg),0.63 $,0.20-1.70,Addis Ababa,Cost of Living
Onion (1kg),2.00 $,1.00-2.70,Addis Ababa,Cost of Living
Lettuce (1 head),0.79 $,0.50-1.00,Addis Ababa,Cost of Living
Water (1.5 liter bottle),0.74 $,0.24-2.00,Addis Ababa,Cost of Living
Bottle of Wine (Mid-Range),6.28 $,4.00-15.00,Addis Ababa,Cost of Living
Domestic Beer (0.5 liter bottle),0.98 $,0.60-1.90,Addis Ababa,Cost of Living
Imported Beer (0.33 liter bottle),1.60 $,0.75-3.40,Addis Ababa,Cost of Living
Cigarettes 20 Pack (Marlboro),5.10 $,3.00-8.76,Addis Ababa,Cost of Living
One-way Ticket (Local Transport),0.42 $,0.10-0.70,Addis Ababa,Cost of Living
Monthly Pass (Regular Price),12.00 $,10.00-25.00,Addis Ababa,Cost of Living
Taxi Start (Normal Tariff),1.25 $,1.00-1.75,Addis Ababa,Cost of Living
Taxi 1km (Normal Tariff),0.28 $,0.20-0.40,Addis Ababa,Cost of Living
Taxi 1hour Waiting (Normal Tariff),2.00 $,1.50-2.00,Addis Ababa,Cost of Living
Gasoline (1 liter),1.32 $,0.74-1.45,Addis Ababa,Cost of Living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"55,000.00 $","50,000.00-62,000.00",Addis Ababa,Cost of Living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"52,666.67 $","42,000.00-65,000.00",Addis Ababa,Cost of Living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",159.50 $,85.00-350.00,Addis Ababa,Cost of Living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,12.25 $,8.00-18.00,Addis Ababa,Cost of Living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",130.20 $,40.00-450.00,Addis Ababa,Cost of Living
"Fitness Club, Monthly Fee for 1 Adult",66.42 $,26.50-114.00,Addis Ababa,Cost of Living
Tennis Court Rent (1 Hour on Weekend),36.25 $,25.00-40.00,Addis Ababa,Cost of Living
"Cinema, International Release, 1 Seat",3.75 $,2.50-8.30,Addis Ababa,Cost of Living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",94.05 $,58.14-145.45,Addis Ababa,Cost of Living
"International Primary School, Yearly for 1 Child","30,187.50 $","15,000.00-56,000.00",Addis Ababa,Cost of Living
1 Pair of Jeans (Levis 501 Or Similar),45.03 $,29.20-86.00,Addis Ababa,Cost of Living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",75.17 $,28.00-150.00,Addis Ababa,Cost of Living
1 Pair of Nike Running Shoes (Mid-Range),94.08 $,70.00-125.00,Addis Ababa,Cost of Living
1 Pair of Men Leather Business Shoes,115.09 $,87.59-150.00,Addis Ababa,Cost of Living
Apartment (1 bedroom) in City Centre,708.88 $,"300.00-1,500.00",Addis Ababa,Cost of Living
Apartment (1 bedroom) Outside of Centre,512.43 $,"250.00-1,000.00",Addis Ababa,Cost of Living
Apartment (3 bedrooms) in City Centre,"2,093.14 $","1,422.00-3,500.00",Addis Ababa,Cost of Living
Apartment (3 bedrooms) Outside of Centre,954.89 $,"565.35-1,200.00",Addis Ababa,Cost of Living
Price per Square Meter to Buy Apartment in City Centre,"2,420.70 $","1,500.00-3,607.00",Addis Ababa,Cost of Living
Price per Square Meter to Buy Apartment Outside of Centre,"1,680.07 $","800.00-2,901.00",Addis Ababa,Cost of Living
Average Monthly Net Salary (After Tax),196.00 $,,Addis Ababa,Cost of Living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.67,16.00-20.00,Addis Ababa,Cost of Living
"Milk (regular), (1 liter)",1.46 $,0.92-2.00,Addis Ababa,Groceries
Loaf of Fresh White Bread (500g),1.31 $,0.55-2.52,Addis Ababa,Groceries
"Rice (white), (1kg)",2.45 $,1.00-4.00,Addis Ababa,Groceries
Eggs (regular) (12),2.32 $,1.16-3.20,Addis Ababa,Groceries
Local Cheese (1kg),8.05 $,3.00-20.00,Addis Ababa,Groceries
Chicken Fillets (1kg),12.70 $,7.50-20.00,Addis Ababa,Groceries
Beef Round (1kg) (or Equivalent Back Leg Red Meat),12.94 $,8.00-23.00,Addis Ababa,Groceries
Apples (1kg),6.78 $,4.00-11.00,Addis Ababa,Groceries
Banana (1kg),0.98 $,0.50-2.00,Addis Ababa,Groceries
Oranges (1kg),2.33 $,1.00-3.21,Addis Ababa,Groceries
Tomato (1kg),0.89 $,0.33-2.00,Addis Ababa,Groceries
Potato (1kg),0.63 $,0.20-1.70,Addis Ababa,Groceries
Onion (1kg),2.00 $,1.00-2.70,Addis Ababa,Groceries
Lettuce (1 head),0.79 $,0.50-1.00,Addis Ababa,Groceries
Apartment (1 bedroom) in City Centre,708.88 $,"300.00-1,500.00",Addis Ababa,Rent
Apartment (1 bedroom) Outside of Centre,512.43 $,"250.00-1,000.00",Addis Ababa,Rent
Apartment (3 bedrooms) in City Centre,"2,093.14 $","1,422.00-3,500.00",Addis Ababa,Rent
Apartment (3 bedrooms) Outside of Centre,954.89 $,"565.35-1,200.00",Addis Ababa,Rent
Price per Square Meter to Buy Apartment in City Centre,"2,420.70 $","1,500.00-3,607.00",Addis Ababa,Rent
Price per Square Meter to Buy Apartment Outside of Centre,"1,680.07 $","800.00-2,901.00",Addis Ababa,Rent
Average Monthly Net Salary (After Tax),196.00 $,,Addis Ababa,Rent
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.67,16.00-20.00,Addis Ababa,Rent
"Meal, Inexpensive Restaurant",300.00 KSh,"200.00-1,000.00",Mombasa,Cost of Living
"Meal for 2 People, Mid-range Restaurant, Three-course","2,500.00 KSh","2,000.00-3,000.00",Mombasa,Cost of Living
McMeal at McDonalds (or Equivalent Combo Meal),"1,125.00 KSh","750.00-1,500.00",Mombasa,Cost of Living
Domestic Beer (0.5 liter draught),250.00 KSh,200.00-300.00,Mombasa,Cost of Living
Imported Beer (0.33 liter bottle),375.00 KSh,300.00-600.00,Mombasa,Cost of Living
Cappuccino (regular),416.67 KSh,100.00-800.00,Mombasa,Cost of Living
Coke/Pepsi (0.33 liter bottle),65.00 KSh,50.00-200.00,Mombasa,Cost of Living
Water (0.33 liter bottle),60.00 KSh,30.00-100.00,Mombasa,Cost of Living
"Milk (regular), (1 liter)",108.00 KSh,65.00-120.00,Mombasa,Cost of Living
Loaf of Fresh White Bread (500g),66.67 KSh,60.00-100.00,Mombasa,Cost of Living
"Rice (white), (1kg)",185.00 KSh,120.00-250.00,Mombasa,Cost of Living
Eggs (regular) (12),228.33 KSh,120.00-240.00,Mombasa,Cost of Living
Local Cheese (1kg),"1,275.00 KSh","800.00-1,800.00",Mombasa,Cost of Living
Chicken Fillets (1kg),766.67 KSh,"500.00-1,200.00",Mombasa,Cost of Living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),683.33 KSh,450.00-800.00,Mombasa,Cost of Living
Apples (1kg),237.50 KSh,200.00-350.00,Mombasa,Cost of Living
Banana (1kg),115.00 KSh,90.00-300.00,Mombasa,Cost of Living
Oranges (1kg),198.75 KSh,100.00-300.00,Mombasa,Cost of Living
Tomato (1kg),100.00 KSh,50.00-150.00,Mombasa,Cost of Living
Potato (1kg),89.75 KSh,50.00-150.00,Mombasa,Cost of Living
Onion (1kg),137.50 KSh,50.00-180.00,Mombasa,Cost of Living
Lettuce (1 head),83.33 KSh,70.00-100.00,Mombasa,Cost of Living
Water (1.5 liter bottle),76.00 KSh,50.00-100.00,Mombasa,Cost of Living
Bottle of Wine (Mid-Range),"1,000.00 KSh","400.00-1,300.00",Mombasa,Cost of Living
Domestic Beer (0.5 liter bottle),250.00 KSh,199.00-280.00,Mombasa,Cost of Living
Imported Beer (0.33 liter bottle),362.50 KSh,250.00-400.00,Mombasa,Cost of Living
Cigarettes 20 Pack (Marlboro),435.00 KSh,300.00-600.00,Mombasa,Cost of Living
One-way Ticket (Local Transport),100.00 KSh,50.00-200.00,Mombasa,Cost of Living
Monthly Pass (Regular Price),"4,500.00 KSh","3,000.00-6,000.00",Mombasa,Cost of Living
Taxi Start (Normal Tariff),400.00 KSh,400.00-400.00,Mombasa,Cost of Living
Taxi 1km (Normal Tariff),250.00 KSh,100.00-500.00,Mombasa,Cost of Living
Taxi 1hour Waiting (Normal Tariff),600.00 KSh,100.00-700.00,Mombasa,Cost of Living
Gasoline (1 liter),209.45 KSh,180.66-219.07,Mombasa,Cost of Living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,560,000.00 KSh","1,320,000.00-1,800,000.00",Mombasa,Cost of Living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,550,000.00 KSh","1,200,000.00-1,900,000.00",Mombasa,Cost of Living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","5,750.00 KSh","3,000.00-8,500.00",Mombasa,Cost of Living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,"1,833.33 KSh","1,000.00-2,000.00",Mombasa,Cost of Living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","5,666.67 KSh","5,000.00-6,000.00",Mombasa,Cost of Living
"Fitness Club, Monthly Fee for 1 Adult","2,333.33 KSh","1,500.00-3,000.00",Mombasa,Cost of Living
Tennis Court Rent (1 Hour on Weekend),"2,500.00 KSh","0.00-5,000.00",Mombasa,Cost of Living
"Cinema, International Release, 1 Seat",600.00 KSh,"600.00-2,000.00",Mombasa,Cost of Living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","11,250.00 KSh","7,500.00-15,000.00",Mombasa,Cost of Living
"International Primary School, Yearly for 1 Child","700,000.00 KSh","400,000.00-1,000,000.00",Mombasa,Cost of Living
1 Pair of Jeans (Levis 501 Or Similar),"1,700.00 KSh","1,200.00-2,500.00",Mombasa,Cost of Living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,766.67 KSh","800.00-3,000.00",Mombasa,Cost of Living
1 Pair of Nike Running Shoes (Mid-Range),"3,000.00 KSh","1,500.00-4,500.00",Mombasa,Cost of Living
1 Pair of Men Leather Business Shoes,"6,000.00 KSh","2,500.00-10,000.00",Mombasa,Cost of Living
Apartment (1 bedroom) in City Centre,"23,333.33 KSh","20,000.00-30,000.00",Mombasa,Cost of Living
Apartment (1 bedroom) Outside of Centre,"15,000.00 KSh","13,000.00-16,000.00",Mombasa,Cost of Living
Apartment (3 bedrooms) in City Centre,"77,500.00 KSh","35,000.00-225,000.00",Mombasa,Cost of Living
Apartment (3 bedrooms) Outside of Centre,"59,000.00 KSh","26,000.00-135,000.00",Mombasa,Cost of Living
Price per Square Meter to Buy Apartment in City Centre,"700,000.00 KSh",,Mombasa,Cost of Living
Price per Square Meter to Buy Apartment Outside of Centre,"500,000.00 KSh",,Mombasa,Cost of Living
Average Monthly Net Salary (After Tax),"41,250.00 KSh",,Mombasa,Cost of Living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13,13.00-13.00,Mombasa,Cost of Living
"Milk (regular), (1 liter)",108.00 KSh,65.00-120.00,Mombasa,Groceries
Loaf of Fresh White Bread (500g),66.67 KSh,60.00-100.00,Mombasa,Groceries
"Rice (white), (1kg)",185.00 KSh,120.00-250.00,Mombasa,Groceries
Eggs (regular) (12),228.33 KSh,120.00-240.00,Mombasa,Groceries
Local Cheese (1kg),"1,275.00 KSh","800.00-1,800.00",Mombasa,Groceries
Chicken Fillets (1kg),766.67 KSh,"500.00-1,200.00",Mombasa,Groceries
Beef Round (1kg) (or Equivalent Back Leg Red Meat),683.33 KSh,450.00-800.00,Mombasa,Groceries
Apples (1kg),237.50 KSh,200.00-350.00,Mombasa,Groceries
Banana (1kg),115.00 KSh,90.00-300.00,Mombasa,Groceries
Oranges (1kg),198.75 KSh,100.00-300.00,Mombasa,Groceries
Tomato (1kg),100.00 KSh,50.00-150.00,Mombasa,Groceries
Potato (1kg),89.75 KSh,50.00-150.00,Mombasa,Groceries
Onion (1kg),137.50 KSh,50.00-180.00,Mombasa,Groceries
Lettuce (1 head),83.33 KSh,70.00-100.00,Mombasa,Groceries
Apartment (1 bedroom) in City Centre,"23,333.33 KSh","20,000.00-30,000.00",Mombasa,Rent
Apartment (1 bedroom) Outside of Centre,"15,000.00 KSh","13,000.00-16,000.00",Mombasa,Rent
Apartment (3 bedrooms) in City Centre,"77,500.00 KSh","35,000.00-225,000.00",Mombasa,Rent
Apartment (3 bedrooms) Outside of Centre,"59,000.00 KSh","26,000.00-135,000.00",Mombasa,Rent
Price per Square Meter to Buy Apartment in City Centre,"700,000.00 KSh",,Mombasa,Rent
Price per Square Meter to Buy Apartment Outside of Centre,"500,000.00 KSh",,Mombasa,Rent
Average Monthly Net Salary (After Tax),"41,250.00 KSh",,Mombasa,Rent
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13,13.00-13.00,Mombasa,Rent
